Database,Type,Format,Version,Species
TAIR,Protein Sequences,fasta,TAIR 10,\emph{Arabidopsis thaliana}
TAIR,GO Annotations,gaf 2.0,TAIR 10 (20151231),\emph{Arabidopsis thaliana}
Gramene 49,Gene Annotations,gff3,5b+,\emph{Zea mays}
Gramene 49,GO Annotations,gaf 2.0,5b+,\emph{Zea mays}
Phytozome11,GO Annotations,tsv,5b+,\emph{Zea mays}
Uniprot,Protein sequences,fasta,20170410,All Species
Uniprot,Protein sequences,fasta,20170410,All Plants
Uniprot,GO Annotations,gaf 2.0,20170410,All Plants
Pfam,HMMs,hmm,27.0,All species
PANTHER,HMMs,hmm,10.0,All Species
